lon,lat,true_onset
68,8,NaT
68,10,NaT
68,12,NaT
68,14,NaT
68,16,NaT
68,18,NaT
68,20,NaT
68,22,NaT
68,24,NaT
68,26,NaT
68,28,NaT
68,30,NaT
68,32,NaT
68,34,NaT
68,36,NaT
68,38,NaT
70,8,NaT
70,10,NaT
70,12,NaT
70,14,NaT
70,16,NaT
70,18,NaT
70,20,NaT
70,22,15-Jun-2025
70,24,17-Jun-2025
70,26,NaT
70,28,NaT
70,30,NaT
70,32,NaT
70,34,NaT
70,36,NaT
70,38,NaT
72,8,NaT
72,10,NaT
72,12,NaT
72,14,NaT
72,16,NaT
72,18,NaT
72,20,13-Jun-2025
72,22,15-Jun-2025
72,24,15-Jun-2025
72,26,18-Jun-2025
72,28,26-Jun-2025
72,30,NaT
72,32,NaT
72,34,NaT
72,36,NaT
72,38,NaT
74,8,NaT
74,10,NaT
74,12,NaT
74,14,NaT
74,16,25-May-2025
74,18,25-May-2025
74,20,12-Jun-2025
74,22,13-Jun-2025
74,24,15-Jun-2025
74,26,14-Jun-2025
74,28,15-Jun-2025
74,30,24-Jun-2025
74,32,NaT
74,34,25-Jun-2025
74,36,14-Jun-2025
74,38,NaT
76,8,NaT
76,10,25-May-2025
76,12,25-May-2025
76,14,25-May-2025
76,16,25-May-2025
76,18,25-May-2025
76,20,12-Jun-2025
76,22,25-May-2025
76,24,17-Jun-2025
76,26,14-Jun-2025
76,28,16-Jun-2025
76,30,17-Jun-2025
76,32,21-Jun-2025
76,34,14-Jun-2025
76,36,NaT
76,38,NaT
78,8,NaT
78,10,09-Sep-2025
78,12,02-Aug-2025
78,14,04-Aug-2025
78,16,25-May-2025
78,18,25-May-2025
78,20,25-May-2025
78,22,26-May-2025
78,24,20-Jun-2025
78,26,17-Jun-2025
78,28,15-Jun-2025
78,30,12-Jun-2025
78,32,14-Jun-2025
78,34,23-Jun-2025
78,36,NaT
78,38,NaT
80,8,NaT
80,10,NaT
80,12,NaT
80,14,05-Aug-2025
80,16,24-Jun-2025
80,18,28-May-2025
80,20,22-Jun-2025
80,22,20-Jun-2025
80,24,17-Jun-2025
80,26,18-Jun-2025
80,28,13-Jun-2025
80,30,13-Jun-2025
80,32,NaT
80,34,NaT
80,36,NaT
80,38,NaT
82,8,NaT
82,10,NaT
82,12,NaT
82,14,NaT
82,16,NaT
82,18,26-May-2025
82,20,25-May-2025
82,22,23-Jun-2025
82,24,17-Jun-2025
82,26,09-Jul-2025
82,28,NaT
82,30,NaT
82,32,NaT
82,34,NaT
82,36,NaT
82,38,NaT
84,8,NaT
84,10,NaT
84,12,NaT
84,14,NaT
84,16,NaT
84,18,NaT
84,20,25-May-2025
84,22,16-Jun-2025
84,24,17-Jun-2025
84,26,16-Jun-2025
84,28,NaT
84,30,NaT
84,32,NaT
84,34,NaT
84,36,NaT
84,38,NaT
86,8,NaT
86,10,NaT
86,12,NaT
86,14,NaT
86,16,NaT
86,18,NaT
86,20,NaT
86,22,25-May-2025
86,24,17-Jun-2025
86,26,13-Jul-2025
86,28,NaT
86,30,NaT
86,32,NaT
86,34,NaT
86,36,NaT
86,38,NaT
88,8,NaT
88,10,NaT
88,12,NaT
88,14,NaT
88,16,NaT
88,18,NaT
88,20,NaT
88,22,27-May-2025
88,24,02-Jun-2025
88,26,01-Jun-2025
88,28,NaT
88,30,NaT
88,32,NaT
88,34,NaT
88,36,NaT
88,38,NaT
90,8,NaT
90,10,NaT
90,12,NaT
90,14,NaT
90,16,NaT
90,18,NaT
90,20,NaT
90,22,NaT
90,24,NaT
90,26,29-May-2025
90,28,NaT
90,30,NaT
90,32,NaT
90,34,NaT
90,36,NaT
90,38,NaT
92,8,NaT
92,10,NaT
92,12,NaT
92,14,NaT
92,16,NaT
92,18,NaT
92,20,NaT
92,22,NaT
92,24,26-May-2025
92,26,26-May-2025
92,28,26-May-2025
92,30,NaT
92,32,NaT
92,34,NaT
92,36,NaT
92,38,NaT
94,8,NaT
94,10,NaT
94,12,NaT
94,14,NaT
94,16,NaT
94,18,NaT
94,20,NaT
94,22,NaT
94,24,NaT
94,26,29-May-2025
94,28,29-May-2025
94,30,NaT
94,32,NaT
94,34,NaT
94,36,NaT
94,38,NaT
96,8,NaT
96,10,NaT
96,12,NaT
96,14,NaT
96,16,NaT
96,18,NaT
96,20,NaT
96,22,NaT
96,24,NaT
96,26,NaT
96,28,19-Jun-2025
96,30,NaT
96,32,NaT
96,34,NaT
96,36,NaT
96,38,NaT
98,8,NaT
98,10,NaT
98,12,NaT
98,14,NaT
98,16,NaT
98,18,NaT
98,20,NaT
98,22,NaT
98,24,NaT
98,26,NaT
98,28,NaT
98,30,NaT
98,32,NaT
98,34,NaT
98,36,NaT
98,38,NaT
100,8,NaT
100,10,NaT
100,12,NaT
100,14,NaT
100,16,NaT
100,18,NaT
100,20,NaT
100,22,NaT
100,24,NaT
100,26,NaT
100,28,NaT
100,30,NaT
100,32,NaT
100,34,NaT
100,36,NaT
100,38,NaT
